movie_name,Country,Release Date,Production Company,IMDB Rating,Metascore,TomatoMeter,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,Total Box Office,ROI
Pulse,"USA, Romania, South Africa",11 Aug 2006,"Weinstein Company, Neo Art &amp; Logic",4.8,27,77%,2006,24970100,20500000,20264436,9976999,R,Contemporary Fiction,Remake,Live Action,Horror,0.0,,30241435,147.52%
Joyeux Noël,USA,25 Dec 2018,N/A,N/A,N/A,29%,2006,61080100,22000000,1054361,22079714,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,,23134075,105.15%
Rocky Balboa,USA,20 Dec 2006,"Rogue Marble, Columbia Pictures Corporation, Metro-Goldwyn-Mayer, Chartoff-Winkler Productions, Revolution Studios, United Artists",7.1,63,4%,2006,7040100,24000000,70269899,85959151,PG,Contemporary Fiction,,Live Action,Drama,1.0,,156229050,650.95%
Unaccompanied Minors,USA,08 Dec 2006,"Warner Bros., Donners&#39; Company",5.3,43,86%,2006,28450100,25000000,16655224,5315607,PG,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0.0,87.0,21970831,87.88%
BloodRayne,"Germany, USA",06 Jan 2006,"Boll Kino Beteiligungs GmbH &amp; Co. KG, Pitchblack Pictures, Herold Productions",2.9,18,43%,2006,54100100,25000000,2405420,1306213,R,Fantasy,Based on Game,Live Action,Action,0.0,92.0,3711633,14.85%
The Omen,"UK, USA",25 Jun 1976,20th Century Fox,7.5,62,73%,2006,9820100,25000000,54607383,64688201,R,Contemporary Fiction,Remake,Live Action,Horror,0.0,,119295584,477.18%
She's the Man,"USA, Canada",17 Mar 2006,"DreamWorks SKG, Lakeshore Entertainment",6.3,45,43%,2006,16720100,25000000,33889159,21390449,PG-13,Contemporary Fiction,Based on Play,Live Action,Romantic Comedy,0.0,105.0,55279608,221.12%
Nanny McPhee,"USA, UK, France",27 Jan 2006,"Universal Pictures, Studio Canal, Working Title Films",6.5,59,53/100,2006,11750100,25000000,47279279,81466299,PG,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,0.0,99.0,128745578,514.98%
Final Destination 3,USA,10 Feb 2006,"New Line Cinema, Zide-Perry Productions",5.8,41,87%,2006,9880100,25000000,54098051,58700000,R,Fantasy,Original Screenplay,Live Action,Horror,1.0,,112798051,451.19%
Lucky Number Slevin,"Germany, UK, USA, Canada",07 Apr 2006,N/A,7.7,53,14%,2006,23280100,27000000,22495466,33000000,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,110.0,55495466,205.54%
Notes on a Scandal,UK,26 Jan 2007,DNA Films,7.4,73,67%,2006,27520100,27500000,17510118,33068293,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,92.0,50578411,183.92%
Just My Luck,USA,12 May 2006,New Regency Pictures,5.4,29,42%,2006,27710100,28000000,17326650,20833255,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,,38159905,136.29%
Miss Potter,"UK, USA, Isle Of Man",09 Mar 2007,"Phoenix Pictures, David Kirschner Productions",6.9,57,73%,2006,52070100,30000000,3005605,32885652,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,92.0,35891257,119.64%
Gridiron Gang,USA,15 Sep 2006,"Columbia Pictures, Stanhaven Productions, Original Film",6.9,52,8%,2006,14570100,30000000,38432823,3025011,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,126.0,41457834,138.19%
Stranger Than Fiction,"USA, UK",10 Nov 2006,"Columbia, Mandate Pictures",7.5,67,40%,2006,13800100,30000000,40435190,13137632,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,105.0,53572822,178.58%
Ultraviolet,USA,03 Mar 2006,Screen Gems,4.4,18,44%,2006,26670100,30000000,18522064,12440048,PG-13,Science Fiction,Original Screenplay,Live Action,Action,0.0,,30962112,103.21%
My Super Ex-Girlfriend,USA,21 Jul 2006,"Regency Enterprises, Pariah Entertainment Group",5.1,50,100%,2006,23230100,30000000,22530295,38242561,PG-13,Super Hero,Original Screenplay,Live Action,Comedy,0.0,,60772856,202.58%
Take the Lead,USA,07 Apr 2006,Tiara Blue Films,6.6,55,34%,2006,16320100,30000000,34742066,30648427,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,,65390493,217.97%
Glory Road,USA,13 Jan 2006,N/A,7.2,58,69%,2006,13030100,30000000,42647449,151611,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,,42799060,142.66%
Nacho Libre,"USA, Mexico",16 Jun 2006,"Paramount Pictures, Black &amp; White Productions, Nickelodeon Movies",5.8,52,42%,2006,5860100,32000000,80197993,19098469,PG,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,90.0,99296462,310.30%
The Good German,USA,19 Jan 2007,"Warner Bros., Section Eight Ltd.",6.0,49,52%,2006,59180100,32000000,1308696,5369337,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,105.0,6678033,20.87%
Snakes on a Plane,"USA, Germany",18 Aug 2006,"New Line Cinema, Patchwork Productions",5.4,58,53%,2006,16690100,33000000,34020814,28000000,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,106.0,62020814,187.94%
Goal! The Dream Begins,"USA, UK",12 May 2006,"Revolution Films, Milkshake Films",6.7,53,37%,2006,48380100,33000000,4283255,23327618,PG,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,121.0,27610873,83.67%
The Fountain,"Canada, USA",22 Nov 2006,Warner Brothers,7.2,51,13%,2006,36990100,35000000,10144010,5317628,PG-13,Science Fiction,Original Screenplay,Live Action,Drama,0.0,96.0,15461638,44.18%
Bandidas,"France, Mexico, USA",18 Jan 2006,"EuropaCorp, Canal+",5.7,N/A,75%,2006,110030100,35000000,0,19282590,PG-13,Historical Fiction,Original Screenplay,Live Action,Western,0.0,93.0,19282590,55.09%
The Nativity Story,USA,01 Dec 2006,New Line Cinema,6.8,52,4%,2006,15040100,35000000,37629831,8679813,PG,Dramatization,Based on Religious Text,Live Action,Drama,0.0,,46309644,132.31%
The Benchwarmers,USA,07 Apr 2006,"Happy Madison Productions, Revolution Studios",5.5,25,25%,2006,8740100,35000000,59843754,5219972,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,,65063726,185.90%
The Devil Wears Prada,"USA, France",30 Jun 2006,Fox 2000 Pictures,6.9,62,57%,2006,2860100,35000000,124740460,201332695,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0.0,109.0,326073155,931.64%
Zoom,USA,11 Aug 2006,Revolution Studios,4.4,26,5%,2006,34430100,35000000,11989328,516860,PG,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,0.0,,12506188,35.73%
A Good Year,"USA, UK",10 Nov 2006,Scott Free Productions,7.0,47,72%,2006,41460100,35000000,7459300,34604805,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,118.0,42064105,120.18%
Marie Antoinette,"USA, France, Japan",20 Oct 2006,"Columbia Pictures, RK Films, American Zoetrope",6.4,65,35%,2006,29340100,40000000,15962471,44900000,PG-13,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0.0,,60862471,152.16%
Big Momma's House 2,USA,27 Jan 2006,"New Regency Pictures, Deep River Productions, Epsilon Motion Pictures, Regency Enterprises, Friendly Productions, Twentieth Century Fox, Firm Films, Runteldat Entertainment",4.7,34,35%,2006,7080100,40000000,70165972,66881404,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1.0,,137047376,342.62%
Eight Below,USA,17 Feb 2006,"Touchstone Pictures, Mandeville Films",7.3,64,66%,2006,5600100,40000000,81612565,38843429,PG,Contemporary Fiction,Remake,Live Action,Adventure,0.0,120.0,120455994,301.14%
The Lake House,USA,16 Jun 2006,"Warner Bros., Vertigo, Village Roadshow Pictures",6.8,52,72%,2006,10330100,40000000,52330111,62500000,PG,Fantasy,Remake,Live Action,Drama,0.0,99.0,114830111,287.08%
Scary Movie 4,USA,14 Apr 2006,"Dimension Films, Brad Grey Productions",5.1,40,76%,2006,4830100,40000000,90710620,88000000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1.0,,178710620,446.78%
Apocalypto,"USA, Mexico, UK",08 Dec 2006,Icon Entertainment International,7.8,68,63%,2006,130090100,40000000,50866635,70165637,R,Historical Fiction,Original Screenplay,Live Action,Action,0.0,138.0,121032272,302.58%
Invincible,USA,25 Aug 2006,"Walt Disney Pictures, Who&#39;s Nuts Productions, Mayhem Pictures",7.1,63,17%,2006,9100100,40000000,57806952,694175,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,104.0,58501127,146.25%
