movie_name,Country,Release Date,Production Company,IMDB Rating,Metascore,TomatoMeter,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,Total Box Office,ROI
When the Bough Breaks,USA,09 Sep 2016,"Embankment Films, Screen Australia, Film Art Media, Ingenious Senior Film Fund, White Hot Productions",7.1,47,90%,2015,221130100,10000000,29747603,1020846,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,107.0,30768449,307.68%
The Second Best Exotic Marigold Hotel,"UK, USA",06 Mar 2015,N/A,6.3,N/A,15%,2015,205230100,10000000,33078266,57306040,PG,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,122.0,90384306,903.84%
Shut In,"Canada, France, USA, India",11 Nov 2016,Fox 2000 Pictures,6.3,56,54%,2015,218610100,10000000,6900335,4460330,R,Fantasy,Original Screenplay,Live Action,Thriller/Suspense,0.0,91.0,11360665,113.61%
Everybody Wants Some,USA,N/A,"Sighvatsson Films, Relativity, Michael De Luca",7.1,58,31%,2015,238820100,10000000,3400278,2036848,R,Historical Fiction,Original Screenplay,Live Action,Comedy,0.0,116.0,5437126,54.37%
The Boy,"USA, Canada, China",22 Jan 2016,N/A,8.0,N/A,34%,2015,225840100,10000000,35819556,32401396,PG-13,Fantasy,Original Screenplay,Live Action,Horror,0.0,97.0,68220952,682.21%
Misconduct,USA,05 Feb 2016,TriStar Pictures,7.1,44,8%,2015,226270100,11000000,0,2352511,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,106.0,2352511,21.39%
Dirty Grandpa,"USA, UK",22 Jan 2016,"Entertainment One, Raindog Films",7.3,73,39%,2015,214610100,11500000,35593113,69485336,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,97.0,105078449,913.73%
Carol,"UK, USA, Australia",15 Jan 2016,"Indigo Films, Medusa Film",7.3,64,45%,2015,229910100,11800000,12711491,30132030,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,118.0,42843521,363.08%
The Dressmaker,Australia,29 Oct 2015,"Element Pictures, No Trace Camping",8.1,86,54%,2015,237720100,11900000,2022115,22019502,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,118.0,24041617,202.03%
Lion,"UK, Australia, USA",06 Jan 2017,Miramax,6.0,N/A,38%,2015,218100100,12000000,51739495,97831225,PG-13,Dramatization,Based on Factual Book/Article,Live Action,Drama,0.0,120.0,149570720,1246.42%
10 Days in a Madhouse,USA,11 Nov 2015,"Lionsgate Films, Lakeshore Entertainment",4.8,38,35%,2015,222630100,12000000,14616,0,R,Dramatization,Original Screenplay,Live Action,Drama,0.0,111.0,14616,0.12%
Paper Towns,USA,24 Jul 2015,"Crescent City Pictures, Red Sky Studios",6.5,57,15%,2015,212140100,12000000,32000304,53450180,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,109.0,85450484,712.09%
Bajrangi Bhaijaan,India,17 Jul 2015,N/A,6.2,49,85%,2015,236700100,13000000,8178001,113600346,Not Rated,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,159.0,121778347,936.76%
Miracles from Heaven,USA,16 Mar 2016,Broken Road,6.3,32,82%,2015,231670100,13000000,61705123,12093613,PG,Dramatization,Based on Factual Book/Article,Live Action,Drama,0.0,109.0,73798736,567.68%
Eye in the Sky,"UK, Canada",01 Apr 2016,"Relativity Media, Demarest Films, Media Talent Group",3.9,31,10%,2015,226880100,13000000,18704596,16698206,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,102.0,35402802,272.33%
Youth,"Italy, France, UK, Switzerland",04 Dec 2015,"Rabbit Bandini Productions, Aperture Media Partners",6.1,43,68%,2015,231860100,13000000,2703296,21298277,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,123.0,24001573,184.63%
Room,"Canada, Ireland, UK, USA",22 Jan 2016,N/A,6.7,N/A,61%,2015,218940100,13000000,14677674,21585109,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,113.0,36262783,278.94%
Robinson Crusoe,USA,12 Jun 1997,"Sikelia Productions, Verdi Productions, The Solution Entertainment Group",6.8,62,48%,2015,247200100,13000000,8005586,34440869,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,91.0,42446455,326.51%
The Vatican Tapes,USA,22 Jul 2015,"1492 Pictures, CJ Entertainment",5.6,33,19%,2015,209300100,13000000,1784763,13144421,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Horror,0.0,91.0,14929184,114.84%
Woodlawn,USA,16 Oct 2015,N/A,6.6,56,88%,2015,228380100,13000000,14394097,9606,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,123.0,14403703,110.80%
Magic Mike XXL,USA,01 Jul 2015,Tri-State Pictures,6.6,76,89%,2015,206440100,14500000,66013057,57647540,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1.0,115.0,123660597,852.83%
Krampus,USA,04 Dec 2015,"Imagine Entertainment, Handwritten Films, Groundswell Productions",5.8,31,45%,2015,214450100,15000000,42725475,19062918,PG-13,Fantasy,Original Screenplay,Live Action,Black Comedy,0.0,98.0,61788393,411.92%
Scouts Guide to the Zombie Apocalypse,USA,30 Oct 2015,"Splash Entertainment, Telegael, Assemblage Entertainment",3.4,21,43%,2015,208670100,15000000,3703046,11851809,R,Fantasy,Original Screenplay,Live Action,Comedy,0.0,93.0,15554855,103.70%
The Disappointments Room,USA,09 Sep 2016,Screen Gems,5.6,36,21%,2015,215900100,15000000,2423467,1080294,R,Contemporary Fiction,Based on Real Life Events,Live Action,Horror,0.0,91.0,3503761,23.36%
In Dubious Battle,USA,17 Feb 2017,"Clinica Estetico, TriStar Pictures, LStar Capital",5.9,54,23%,2015,226900100,15000000,0,214182,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,110.0,214182,1.43%
Bleed for This,USA,18 Nov 2016,"Affirm Films, Columbia Pictures",6.3,51,92%,2015,230810100,16000000,5083906,1520020,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,116.0,6603926,41.27%
The Young Messiah,"USA, South Korea",11 Mar 2016,"State Street Pictures, Cube Vision",5.9,67,60%,2015,193820100,16800000,6469813,843884,PG-13,Dramatization,Based on Comic/Graphic Novel,Live Action,Drama,0.0,111.0,7313697,43.53%
Genius,"UK, USA",10 Jun 2016,"Anonymous Content, Rocklin/Faust",8.1,93,54%,2015,230820100,17000000,1361045,5904238,PG-13,Dramatization,Based on Factual Book/Article,Live Action,Drama,0.0,104.0,7265283,42.74%
Midnight Special,"USA, Greece",21 Apr 2016,Himenóptero,5.7,32,60%,2015,207590100,18000000,3712282,3967968,PG-13,Science Fiction,Original Screenplay,Live Action,Drama,0.0,102.0,7680250,42.67%
Love the Coopers,USA,13 Nov 2015,"Anonymous Content, Surefire Entertainment Capital, MadRiver Pictures",6.3,52,27%,2015,222720100,18000000,26302731,15924759,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,107.0,42227490,234.60%
Norm of the North,"USA, India, Ireland",15 Jan 2016,"Anthem Productions, Paul Schiff",7.2,34,30%,2015,147990100,18000000,17062499,13473161,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,93.0,30535660,169.64%
The Perfect Guy,USA,11 Sep 2015,"Jolie Pas, Universal Pictures",5.3,44,45%,2015,222930100,18000000,57027435,3250731,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,100.0,60278166,334.88%
Ricki and the Flash,USA,07 Aug 2015,"Survivor Productions, Millennium Films, Burk A Project, Winkler Films",5.6,28,31%,2015,207430100,18000000,26839498,14326535,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,100.0,41166033,228.70%
My Big Fat Greek Wedding 2,"USA, Canada",25 Mar 2016,"Gran Via, Willie&#39;s Movies, SITE",6.3,45,37%,2015,219050100,18000000,59689605,32406953,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1.0,94.0,92096558,511.65%
Risen,USA,19 Feb 2016,"Fuego Films, Vertical Media",6.6,54,7%,2015,212220100,20000000,36880033,9375730,PG-13,Historical Fiction,Based on Religious Text,Live Action,Drama,0.0,107.0,46255763,231.28%
Barbershop: The Next Cut,USA,15 Apr 2016,"New Line Cinema, Metro-Goldwyn-Mayer",7.4,51,90%,2015,231020100,20000000,54030051,374151,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,112.0,54404202,272.02%
Spotlight,USA,20 Nov 2015,Sunswept Entertainment,6.7,47,84%,2015,212500100,20000000,45055776,47032684,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,128.0,92088460,460.44%
Regression,"Spain, Canada, USA",02 Oct 2015,"Gold Star Films, Di Bonaventura Pictures, 606 Films, Lotus Entertainment, Rumble Entertainment",5.9,44,59%,2015,200430100,20000000,55039,15769335,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,106.0,15824374,79.12%
Triple 9,USA,26 Feb 2016,Roadside Attractions,6.0,34,71%,2015,213900100,20000000,12639297,13304495,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,115.0,25943792,129.72%
My All-American,USA,13 Nov 2015,EuropaCorp,5.2,32,83%,2015,147780100,20000000,2246000,0,PG,Dramatization,Based on Factual Book/Article,Live Action,Drama,0.0,118.0,2246000,11.23%
By the Sea,"France, Malta, USA",09 Dec 2015,Working Title Films,6.3,72,18%,2015,215960100,20000000,538460,3189286,R,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,122.0,3727746,18.64%
Survivor,"USA, UK",29 May 2015,"Matthew Vaughn, Saville Productions, Studio Babelsberg",7.4,54,14%,2015,217830100,20000000,0,1703281,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,96.0,1703281,8.52%
Secret in Their Eyes,"USA, UK, Spain, South Korea",20 Nov 2015,Ruby Films,6.2,38,95%,2015,214560100,20000000,20180155,12427864,PG-13,Contemporary Fiction,Remake,Live Action,Thriller/Suspense,0.0,111.0,32608019,163.04%
Hands of Stone,"Panama, USA",26 Aug 2016,Point Grey,6.4,58,47%,2015,232060100,20000000,4712792,319183,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,105.0,5031975,25.16%
Me Before You,"UK, USA",03 Jun 2016,Working Title Films,6.9,55,5%,2015,212080100,20000000,56245075,152020123,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,110.0,208265198,1041.33%
Max,USA,26 Jun 2015,Phoenix Pictures,6.9,55,15%,2015,208650100,20000000,42656255,1001902,PG,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0.0,111.0,43658157,218.29%
Kidnap,USA,04 Aug 2017,Ram Bergman,6.5,34,16%,2015,215890100,21000000,30718107,4117973,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,82.0,34836080,165.89%
Bitter Harvest,"Canada, UK",24 Feb 2017,Plan B Entertainment,7.8,81,28%,2015,245990100,21000000,557241,48921,R,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,103.0,606162,2.89%
The Transporter Refueled,"France, China, Belgium, Monaco",04 Sep 2015,"New Line Cinema, Circle of Confusion, Legendary Pictures, Cubevision",7.8,72,51%,2015,213560100,22000000,16029670,53668825,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,96.0,69698495,316.81%
"Hail, Caesar!","USA, UK, Japan",05 Feb 2016,"Head Gear Films, Allison Shearmur, Sierra Pictures, QC Entertainment, MadRiver Pictures, Handsomecharlie Films",5.8,45,90%,2015,218060100,22000000,30080225,34080455,PG-13,Historical Fiction,Original Screenplay,Live Action,Comedy,0.0,100.0,64160680,291.64%
Eddie the Eagle,"UK, Germany, USA",26 Feb 2016,"PalmStar Media, Circle of Confusion",6.1,50,89%,2015,226600100,23000000,15789389,29271091,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,105.0,45060480,195.92%
Tulip Fever,"UK, USA",01 Sep 2017,"On the Day, Gary Sanchez Productions",5.4,40,60%,2015,216620100,25000000,2455635,4337133,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,105.0,6792768,27.17%
Shaun the Sheep,"UK, Finland, Germany",05 Mar 2007,"Silver Pictures, Hands-on Producers, 42, DMG Entertainment, Automatik Entertainment, IM Global Film Fund",5.7,33,44%,2015,220970100,25000000,19375982,82549179,PG,Kids Fiction,Spin-Off,Stop-Motion Animation,Adventure,0.0,86.0,101925161,407.70%
The Night Before,USA,20 Nov 2015,"Decibel Films, Scott Rudin Productions, Mark Gordon Productions, Entertainment 360, Cloud Eight",7.2,82,13%,2015,206460100,25000000,43035725,9391621,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,101.0,52427346,209.71%
Legend,"UK, France, USA",20 Nov 2015,"Black Label Media, Thunder Road Pictures",7.6,82,91%,2015,232830100,25000000,1872994,40552456,R,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense,0.0,131.0,42425450,169.70%
The 33,"Chile, Colombia, Spain, USA",13 Nov 2015,"Little Stranger Inc., Everyman Pictures",6.0,58,61%,2015,229970100,25000000,12227722,16172993,PG-13,Dramatization,Based on Factual Book/Article,Live Action,Drama,0.0,120.0,28400715,113.60%
The Big Short,USA,23 Dec 2015,"Riche Productions, Fuqua Films, Escape Artists",7.4,57,61%,2015,222070100,28000000,70259870,62902882,R,Historical Fiction,Based on Factual Book/Article,Live Action,Drama,0.0,130.0,133162752,475.58%
Straight Outta Compton,USA,14 Aug 2015,"Benderspink, New Line Cinema",6.1,34,47%,2015,209580100,28000000,161197785,40985196,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,146.0,202182981,722.08%
Pride and Prejudice and Zombies,"USA, UK",05 Feb 2016,Benderspink,6.3,36,59%,2015,150880100,28000000,10907291,5731009,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Black Comedy,0.0,107.0,16638300,59.42%
American Ultra,"USA, Switzerland",21 Aug 2015,"Columbia Pictures, Sony Pictures Entertainment",5.9,N/A,31%,2015,230020100,28000000,14439985,15855043,R,Contemporary Fiction,Original Screenplay,Live Action,Black Comedy,0.0,96.0,30295028,108.20%
The Boss,USA,08 Apr 2016,"Temple Hill, Nicholas Sparks Productions",7.1,33,73%,2015,221750100,29000000,63077560,15574647,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,99.0,78652207,271.21%
Collide,"UK, Germany, China, USA",24 Feb 2017,"LStar Capital, Four by Two Films, Big Talk, Working Title Films, Village Roadshow Pictures",6.2,44,72%,2015,218170100,29200000,2280004,3186694,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,99.0,5466698,18.72%
Steve Jobs,"UK, USA",23 Oct 2015,"Foxy, Pacific Standard",5.2,31,85%,2015,218110100,30000000,17766658,17812349,R,Dramatization,Based on Factual Book/Article,Live Action,Drama,0.0,121.0,35579007,118.60%
Sicario,"USA, Mexico, Hong Kong",02 Oct 2015,Nouvelles Éditions de Films (NEF),7.2,N/A,78%,2015,223840100,30000000,46889293,37504456,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,121.0,84393749,281.31%
Entourage,USA,18 Jul 2004,Apatow Productions,6.2,75,12%,2015,145960100,30000000,32363404,14075134,R,Contemporary Fiction,Based on TV,Live Action,Comedy,0.0,104.0,46438538,154.80%
Sisters,USA,18 Dec 2015,"The Cantillon Company, Scott Free Productions, Cara Films, Shuman Co.",7.1,55,60%,2015,206750100,30000000,87044645,18986015,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,117.0,106030660,353.44%
The Age of Adaline,"USA, Canada",24 Apr 2015,"Kasbah-Film Tanger, X-Filme Creative Pool, Fabrica, 22h22, Playtone",6.1,58,28%,2015,140860100,30000000,42629776,26354760,PG-13,Fantasy,Original Screenplay,Live Action,Drama,0.0,112.0,68984536,229.95%
Southpaw,"Hong Kong, USA",24 Jul 2015,ImageMovers,7.3,70,47%,2015,222920100,30000000,52421953,41734503,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,124.0,94156456,313.85%
Vacation,USA,29 Jul 2015,"Raslan Company of America, Benaroya Pictures",5.7,39,74%,2015,213710100,31000000,58884188,43422312,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1.0,98.0,102306500,330.02%
Criminal,"USA, UK, Bulgaria",15 Apr 2016,"Likely Story, Anonymous Content, PalmStar Media, Overbrook Entertainment",6.8,23,72%,2015,220210100,31500000,14708696,24062566,R,Science Fiction,Original Screenplay,Live Action,Action,0.0,113.0,38771262,123.08%
Freaks of Nature,USA,30 Oct 2015,Chartoff Winkler,7.6,82,34%,2015,242200100,33000000,70958,0,R,Fantasy,Original Screenplay,Live Action,Black Comedy,0.0,92.0,70958,0.22%
The Longest Ride,USA,10 Apr 2015,Wrigley Pictures,6.1,51,56%,2015,187850100,34000000,37446117,26356811,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,128.0,63802928,187.66%
The Brothers Grimsby,"UK, USA",11 Mar 2016,"Happy Madison Productions, Broken Road, Hey Eddie",4.4,13,43%,2015,204320100,35000000,6864016,21856454,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,82.0,28720470,82.06%
Hot Pursuit,USA,08 May 2015,"Material Pictures, GK Films",5.2,33,73%,2015,207580100,35000000,34580201,11091311,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,87.0,45671512,130.49%
The Lovers,France,26 Oct 1959,Silver Pictures,5.8,39,67%,2015,221610100,35000000,0,53899,PG-13,Historical Fiction,Original Screenplay,Live Action,Adventure,0.0,109.0,53899,0.15%
Trainwreck,"USA, Japan",17 Jul 2015,Gary Sanchez Productions,6.0,34,93%,2015,217380100,35000000,110212700,30911197,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,122.0,141123897,403.21%
Concussion,"UK, Australia, USA",25 Dec 2015,"Electric City Entertainment, Warner Bros. Pictures",7.3,51,18%,2015,222880100,35000000,34531832,15831958,PG-13,Contemporary Fiction,Based on Factual Book/Article,Live Action,Drama,0.0,121.0,50363790,143.90%
A Hologram for the King,"UK, France, Germany, Mexico, USA",28 Apr 2016,"Afterworks Limited, Studio Babelsberg Independents [de]",7.6,81,55%,2015,214600100,35000000,4212494,7633516,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,97.0,11846010,33.85%
The Walk,USA,09 Oct 2015,Arka Mediaworks,8.0,N/A,86%,2015,207440100,35000000,10161183,51035862,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,124.0,61197045,174.85%
Queen of the Desert,"USA, Morocco",14 Apr 2017,Waverly Films,7.1,51,87%,2015,222090100,36000000,0,1578543,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,127.0,1578543,4.38%
Collateral Beauty,USA,16 Dec 2016,"Studio 8, TriStar Pictures, Marc Platt Productions, Ink Factory",6.2,53,70%,2015,234550100,36000000,31016021,54293072,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,96.0,85309093,236.97%
Creed,USA,25 Nov 2015,"EuropaCorp, M6 Films Production, Canal Plus",6.0,26,91%,2015,224130100,37000000,109767581,63800000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,1.0,133.0,173567581,469.10%
Paul Blart: Mall Cop 2,USA,17 Apr 2015,"Joint Effort, Warner Bros. Pictures, The Mark Gordon Company",7.1,57,27%,2015,205750100,38000000,71091594,36559052,PG,Contemporary Fiction,Original Screenplay,Live Action,Adventure,1.0,94.0,107650646,283.29%
The 5th Wave,"USA, UK",22 Jan 2016,"Red Hour Films, Scott Rudin Productions",4.7,34,32%,2015,212090100,38000000,34912982,76423416,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Action,0.0,112.0,111336398,292.99%
The Gunman,"USA, Spain, UK, France",20 Mar 2015,"Onda Entertainment, Endgame Entertainment, KrautPack Entertainment, Wild Bunch, Vendian Entertainment",7.3,58,83%,2015,208660100,40000000,10664749,7929478,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,115.0,18594227,46.49%
Get Hard,USA,27 Mar 2015,"Huayi Brothers, Vendian Entertainment, IM Global, Route One Films, Larger Than Life, Bluegrass Films",6.9,53,78%,2015,204300100,40000000,90411453,16100000,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,99.0,106511453,266.28%
The Accountant,USA,14 Oct 2016,Vertigo,6.6,59,37%,2015,216690100,40000000,86260045,66702038,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,128.0,152962083,382.41%
Bridge of Spies,"USA, Germany, India",16 Oct 2015,Gary Sanchez Productions,6.2,42,87%,2015,209460100,40000000,72313754,90184584,PG-13,Historical Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,141.0,162498338,406.25%
Baahubali: The Beginning,India,09 Jul 2015,"Head Gear Films, Le Grisbi, Warner Bros., RatPac-Dune Entertainment, Cross Creek Pictures, Free State Pictures",6.9,68,15%,2015,236630100,40000000,6738000,19998665,Not Rated,Historical Fiction,Original Screenplay,Live Action,Action,0.0,160.0,26736665,66.84%
The Intern,USA,25 Sep 2015,"Legendary Pictures, DDY",6.5,66,93%,2015,204330100,40000000,75764672,121351038,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,121.0,197115710,492.79%
Taken 3,"France, USA, Spain",09 Jan 2015,"Original Film, Scholastic Entertainment Inc.",6.3,60,27%,2015,205100100,48000000,89256424,238400000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,1.0,118.0,327656424,682.62%
The Nice Guys,USA,20 May 2016,"Infinitum Nihil, Lionsgate Films, Mad Chance",5.5,27,27%,2015,213300100,50000000,36261763,23334984,R,Historical Fiction,Original Screenplay,Live Action,Black Comedy,0.0,116.0,59596747,119.19%
War Dogs,"USA, Cambodia, Romania",19 Aug 2016,"Davis Entertainment, 10 by 10 Entertainment",6.6,56,83%,2015,220150100,50000000,43034523,43199980,R,Dramatization,Based on Factual Book/Article,Live Action,Comedy,0.0,114.0,86234503,172.47%
Zoolander 2,"USA, Italy",12 Feb 2016,"Millennium Films, G-BASE",5.9,28,28%,2015,143270100,50000000,28848693,26500000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1.0,102.0,55348693,110.70%
Snowden,"UK, France, Germany, USA",16 Sep 2016,"Gotham Group, Temple Hill",6.3,43,69%,2015,218690100,50000000,21587519,13793399,R,Dramatization,Based on Factual Book/Article,Live Action,Drama,0.0,134.0,35380918,70.76%
Free State of Jones,USA,24 Jun 2016,A Band Apart,7.8,68,30%,2015,146240100,50000000,20810036,2427216,R,Historical Fiction,Based on Real Life Events,Live Action,Drama,0.0,139.0,23237252,46.47%
Run All Night,USA,13 Mar 2015,"Working Title Films, Free State Pictures, RVK Studios",7.1,64,94%,2015,204280100,50000000,26461644,40500000,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,114.0,66961644,133.92%
Black Mass,"USA, UK",18 Sep 2015,N/A,6.6,56,35%,2015,210460100,53000000,62575678,36262194,R,Dramatization,Based on Factual Book/Article,Live Action,Drama,0.0,122.0,98837872,186.49%
Crimson Peak,"Canada, USA, Mexico",16 Oct 2015,Sony Pictures Animation,6.3,43,94%,2015,199200100,55000000,31090320,43876534,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,0.0,118.0,74966854,136.30%
Deadpool,USA,12 Feb 2016,Chris Meledandri,6.5,61,28%,2015,142380100,58000000,363070709,437954884,R,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,107.0,801025593,1381.08%
Goosebumps,"USA, Australia",16 Oct 2015,"Ritchie/Wigram, Davis Entertainment",7.3,56,90%,2015,204360100,58000000,80069458,78835866,PG,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Horror,0.0,103.0,158905324,273.97%
Mortdecai,"UK, USA",23 Jan 2015,ON Animation Studios,7.7,70,63%,2015,206740100,60000000,7696134,22700000,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0.0,107.0,30396134,50.66%
Joy,USA,25 Dec 2015,"One Race Films, Goldmann Pictures",6.0,34,87%,2015,208840100,60000000,56451232,44682827,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,124.0,101134059,168.56%
London Has Fallen,"UK, Bulgaria, USA",04 Mar 2016,Sony Pictures Animation,6.7,44,0%,2015,207160100,60000000,62524260,132669825,R,Contemporary Fiction,Original Screenplay,Live Action,Action,1.0,99.0,195194085,325.32%
Maze Runner: The Scorch Trials,USA,18 Sep 2015,Metro Goldwyn Mayer,8.1,90,37%,2015,215990100,61000000,81697192,228868970,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,1.0,131.0,310566162,509.12%
The Hateful Eight,USA,30 Dec 2015,"Blue Sky Studios, Twentieth Century Fox Animation",7.1,67,56%,2015,211850100,62000000,54117416,93747470,R,Historical Fiction,Original Screenplay,Live Action,Western,0.0,167.0,147864886,238.49%
Everest,"UK, USA, Iceland",25 Sep 2015,20th Century Fox,7.3,58,49%,2015,203040100,65000000,43482270,177814791,PG-13,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense,0.0,121.0,221297061,340.46%
Live by Night,USA,13 Jan 2017,"20th Century Fox, Scott Free Productions",8.0,80,93%,2015,199810100,65000000,10378555,11395877,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,129.0,21774432,33.50%
Focus,"USA, Argentina",27 Feb 2015,"Roth Films, Perfect World Pictures",6.1,35,0%,2015,204290100,65000000,53862963,114202737,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,105.0,168065700,258.56%
The Angry Birds Movie,"Finland, USA",20 May 2016,"1492 Pictures, 20th Century Fox, Marvel Enterprises",5.7,40,82%,2015,192320100,73000000,107509366,244818521,PG,Kids Fiction,Based on Game,Digital Animation,Adventure,0.0,97.0,352327887,482.64%
The Secret Life of Pets,"USA, France, Japan",08 Jul 2016,"Paramount Animation, Nickelodeon Movies, Disruption Entertainment",5.6,41,39%,2015,190180100,75000000,368384330,518383092,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,91.0,886767422,1182.36%
The Little Prince,"France, Canada, Italy, USA, China",05 Aug 2016,"Appian Way, New Regency Pictures, M Prods, Anonymous Content",8.0,76,19%,2015,239390100,77500000,1311213,100717706,PG,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0.0,108.0,102028919,131.65%
The Last Witch Hunter,"USA, China, Canada",23 Oct 2015,"Smithrowe Entertainment, Platinum Dunes, Mednick Productions, Gama Entertainment, Paramount Pictures International",6.0,40,97%,2015,212330100,80000000,27367660,103451252,PG-13,Fantasy,Original Screenplay,Live Action,Action,0.0,98.0,130818912,163.52%
Hotel Transylvania 2,USA,25 Sep 2015,DreamWorks Animation,7.1,66,40%,2015,184100100,80000000,169700110,299800188,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1.0,89.0,469500298,586.88%
Ben-Hur,USA,18 Nov 1959,"Thunder Road Pictures, Mystery Clock Cinema",5.4,25,78%,2015,207170100,95000000,26410477,65259171,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,123.0,91669648,96.49%
